word,female,male
professor,309,414
questions,234,326
easy,218,168
final,189,216
material,180,179
homework,165,65
exams,155,215
good,151,167
time,150,168
midterm,133,155
hours,126,168
ta,122,90
helpful,115,136
tests,113,168
quizzes,110,68
recommend,110,153
hard,107,133
understand,105,91
difficult,104,111
office,98,144
course,98,89
textbook,97,83
grade,93,125
make,92,131
concepts,91,98
week,90,62
midterms,89,108
exam,89,121
help,87,103
definitely,87,124
first,84,98
great,84,147
work,82,81
every,78,107
overall,78,106
dr.,76,88
think,71,90
extra,71,111
practice,71,91
super,70,79
stats,70,0
problems,70,105
need,70,109
everything,69,73
taking,68,91
people,66,90
could,66,84
labs,65,4
best,64,126
bad,63,44
always,63,80
math,62,8
online,62,78
learning,61,76
way,60,104
points,60,161
10,58,37
nice,56,45
study,56,96
taken,55,34
two,55,51
still,55,59
credit,55,122
long,54,68
’,54,72
lab,54,14
answer,54,74
2,53,60
clear,53,58
never,52,68
read,52,55
ucla,51,80
extremely,50,67
learn,49,80
assignments,49,33
weekly,48,38
group,48,53
honestly,48,48
want,47,85
felt,47,27
cares,47,66
launchpad,47,140
clicker,46,85
'',46,54
classes,46,54
``,46,54
teaching,45,54
fair,45,53
review,44,88
since,44,41
slides,43,95
highly,43,63
notes,43,81
little,42,60
feel,42,57
better,42,52
said,42,39
say,41,53
grading,41,50
amazing,40,68
participation,40,43
learned,40,44
fine,40,34
high,40,39
kind,40,36
put,40,48
professors,39,90
series,39,42
lecturer,39,52
rose,39,0
book,39,22
test,39,66
times,38,44
enough,38,44
reading,38,76
understanding,38,53
question,37,66
especially,37,43
interesting,36,87
ap,36,40
student,35,54
examples,35,19
?,35,29
bit,35,52
20,35,19
tas,35,23
*,35,32
content,35,47
amount,34,30
prof,34,19
easier,34,29
person,34,28
due,34,28
covered,34,14
confusing,33,16
ask,33,51
went,33,32
anything,33,29
sometimes,33,35
school,33,28
30,32,19
--,32,24
finals,32,22
5,32,16
explain,32,20
grades,32,34
often,32,28
thought,32,44
different,32,34
basically,32,35
graded,31,35
usually,31,20
'm,31,44
average,31,29
fairly,31,14
videos,31,11
attention,30,33
end,30,35
ever,30,59
similar,30,25
second,30,36
teach,30,17
worksheets,30,51
1,30,27
follow,29,8
multiple,29,31
ended,29,26
probably,29,37
found,29,39
reviews,29,25
important,29,37
explaining,28,19
based,28,37
lowest,28,10
least,28,28
thing,28,31
pay,27,32
3,27,30
sherry,27,0
around,27,27
flipped,27,24
everyone,27,42
something,27,35
find,27,22
teacher,27,42
major,26,32
section,26,24
far,26,51
ls,26,24
watch,26,5
helped,26,15
readings,25,56
choice,25,26
another,25,18
coding,25,0
discussions,25,22
day,25,28
worth,25,38
problem,24,63
deb,24,0
use,24,29
harder,24,31
...,24,36
last,24,15
15,24,11
classroom,24,31
complete,24,15
straightforward,24,24
might,24,15
open,23,14
completely,23,26
give,23,55
attend,23,31
difficulty,23,12
simple,23,18
topics,23,28
effort,23,39
right,23,26
chemistry,23,64
engaging,22,81
almost,22,28
ca,22,13
biology,22,16
studying,22,47
given,22,31
quiz,22,19
answers,22,35
getting,22,26
ge,22,47
challenging,22,36
less,21,10
conceptual,21,6
tries,21,19
live,21,6
workload,21,16
project,21,8
taught,21,23
chem,20,53
stuff,20,40
try,20,35
literally,20,24
part,20,32
half,20,20
succeed,20,36
pre-class,20,5
see,20,30
explanations,20,9
job,20,17
love,20,27
sessions,20,55
hw,20,8
goes,19,23
although,19,29
free,19,25
enjoyed,19,29
either,19,21
absolutely,19,23
genuinely,19,38
curve,19,16
score,19,24
someone,19,18
relatively,19,13
weeks,19,17
write,18,29
actual,18,7
attendance,18,17
confused,18,14
entire,18,17
concept,18,16
whole,18,23
quite,18,49
prof.,18,11
short,18,34
dropped,18,7
wo,18,13
knowledge,18,19
fun,18,40
ccle,18,19
assignment,17,6
